Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Ownership,Industry,Sector,Revenue,Minimum Salary,Maximum Salary,Average Salary,salary_category,Rating Interval,Min Employees,Max Employees,Ownership Category,Ownership_College / University,Ownership_Company - Private,Ownership_Company - Public,Ownership_Contract,Ownership_Government,Ownership_Hospital,Ownership_Nonprofit Organization,Ownership_Other Organization,Ownership_Private Practice / Firm,Ownership_Self-employed,Ownership_Subsidiary or Business Segment,Education Level,Experience Level,python,excel,hadoop,spark,aws,tableau,State
Data Analyst II,137-171 ,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ",5001 - 10000 ,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),137,171,154,Medium,4-5,5001 , 10000 ,Public,False,False,True,False,False,False,False,False,False,False,False,master,Mid-Senior,0,1,0,0,0,0, TX
Medical Lab Scientist,137-171 ,3.5,Tower Health,"West Grove, PA","Reading, PA",5001 - 10000 ,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,171,154,Medium,3-4,5001 , 10000 ,Nonprofit,False,False,False,False,False,False,True,False,False,False,False,Bachelor,Entry,0,0,0,0,0,0, PA
Data Scientist,137-171 ,3.2,Triplebyte,"New York, NY","San Francisco, CA",51 - 200 ,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154,Medium,3-4,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Not Mentioned,0,0,0,0,0,0, NY
Data Scientist/Machine Learning,137-171 ,4.3,PulsePoint,"New York, NY","New York, NY",51 - 200 ,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137,171,154,Medium,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Entry,1,0,1,1,0,0, NY
Human Factors Scientist,137-171 ,3.5,Exponent,"Phoenix, AZ","Menlo Park, CA",1001 - 5000 ,1967,Company - Public,Consulting,Business Services,$100 to $500 million (USD),137,171,154,Medium,3-4,1001 , 5000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Phd,Entry,0,1,0,0,0,0, AZ
Business Intelligence Analyst I- Data Insights,137-171 ,3.5,Guardian Life,"Appleton, WI","New York, NY",5001 - 10000 ,,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),137,171,154,Medium,3-4,5001 , 10000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Senior,0,0,0,0,0,0, WI
Data Scientist,137-171 ,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 - 200 ,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,171,154,Medium,3-4,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,bachelor,Not Mentioned,0,0,0,0,0,0, IL
Data Scientist,137-171 ,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137,171,154,Medium,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,0,0,0,0, GA
Data Scientist - Risk,137-171 ,4.2,LSQ,"Orlando, FL","Orlando, FL",51 - 200 ,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137,171,154,Medium,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,1,1,1,1,1, FL
Data Scientist-Human Resources,137-171 ,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 - 5000 ,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,137,171,154,Medium,3-4,1001 , 5000 ,Nonprofit,False,False,False,False,False,False,True,False,False,False,False,Not Mentioned,Mid-Senior,1,0,1,1,0,0, MA
Data Scientist,137-171 ,4.5,Kingfisher Systems,"McLean, VA","Falls Church, VA",51 - 200 ,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),137,171,154,Medium,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,0,0,0,0,1, VA
Data Scientist,137-171 ,2.8,Formation,"San Francisco, CA","San Francisco, CA",51 - 200 ,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154,Medium,2-3,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Senior,0,1,0,1,0,0, CA
Data Scientist,75-131 ,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 - 5000 ,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),75,131,103,Low,3-4,1001 , 5000 ,Private,False,False,False,False,False,False,False,False,True,False,False,PhD,Entry,1,1,0,0,1,0, MA
Data Scientist / Machine Learning Expert,75-131 ,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103,Low,3-4,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,Advanced degree,Entry,1,0,0,0,0,0, MA
Data Scientist,75-131 ,5.0,Cohere Health,"Boston, MA","Boston, MA",1 - 50 ,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,75,131,103,Low,4-5,1 , 50 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Senior,1,1,0,0,0,0, MA
Senior Research Statistician- Data Scientist,75-131 ,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 - 5000 ,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),75,131,103,Low,4-5,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Senior,0,0,0,0,0,0, WI
Data Engineer,75-131 ,3.6,Chef,United States,"Seattle, WA",201 - 500 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75,131,103,Low,3-4,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,0,1,0,0,1,0,US
Associate Data Scientist,75-131 ,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 - 5000 ,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),75,131,103,Low,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,0,1,1,1,0,0, WA
Business Intelligence Analyst,75-131 ,2.7,Sandhills Global,"Lincoln, NE","Lincoln, NE",1001 - 5000 ,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),75,131,103,Low,2-3,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Not Mentioned,1,1,0,0,0,1, NE
Data Scientist,75-131 ,2.7,A Place for Mom,"Overland Park, KS","New York, NY",501 - 1000 ,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,75,131,103,Low,2-3,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,1,0,0,1,0, KS
Data Scientist,75-131 ,2.2,Great-Circle Technologies,"Chantilly, VA","Chantilly, VA",1 - 50 ,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),75,131,103,Low,2-3,1 , 50 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Entry,1,1,1,1,1,0, VA
Senior Analyst/Data Scientist,75-131 ,3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 - 1000 ,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),75,131,103,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Entry,1,1,0,0,1,1, CA
Data Analyst,75-131 ,3.1,"Cambridge Associates, LLC","Boston, MA","Boston, MA",501 - 1000 ,1973,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),75,131,103,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Not Mentioned,1,1,0,0,0,0, MA
Machine Learning Engineer,75-131 ,3.4,Liberty Mutual Insurance,"Portsmouth, NH","Boston, MA",10000+ ,,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),75,131,103,Low,3-4,10001 ,10000+ ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,1,0,1,1,0, NH
Data Analyst I,75-131 ,2.6,Cenlar,"Ewing, NJ","Ewing, NJ",1001 - 5000 ,1958,Company - Private,,,$100 to $500 million (USD),75,131,103,Low,2-3,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,0,0,0,0,0,0, NJ
Scientist - Molecular Biology,75-131 ,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 - 200 ,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,75,131,103,Low,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Mid-Senior,0,0,0,0,0,0, CA
Data Scientist,75-131 ,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",51 - 200 ,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),75,131,103,Low,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Phd,Entry,1,0,0,0,0,0, CA
"Computational Scientist, Machine Learning",75-131 ,4.1,Pfizer,"Cambridge, MA","New York, NY",10000+ ,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103,Low,4-5,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,Phd,Not Mentioned,1,1,0,0,1,0, MA
Senior Data Scientist,75-131 ,4.8,Klaviyo,"Boston, MA","Boston, MA",201 - 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,75,131,103,Low,4-5,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Senior,0,0,0,0,0,0, MA
Data Scientist,75-131 ,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",501 - 1000 ,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,75,131,103,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,0,0,0,0, WA
Data Scientist,75-131 ,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",1001 - 5000 ,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,75,131,103,Low,3-4,1001 , 5000 ,Public,False,False,False,False,True,False,False,False,False,False,False,Bachelor,Not Mentioned,1,1,0,0,0,1, CA
Data Scientist,75-131 ,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",201 - 500 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75,131,103,Low,4-5,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,0,0,0,1, MA
Data Analyst,75-131 ,4.8,Giving Assistant,"San Francisco, CA","San Francisco, CA",1 - 50 ,2014,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),75,131,103,Low,4-5,1 , 50 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,0,0,0,1, CA
Data Scientist,75-131 ,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",10000+ ,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),75,131,103,Low,3-4,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,Master,Entry,1,0,0,1,0,0, MA
Data Scientist,75-131 ,4.0,Netskope,"San Francisco, CA","Santa Clara, CA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75,131,103,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Entry,1,1,0,1,0,0, CA
E-Commerce Data Analyst,75-131 ,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 - 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,75,131,103,Low,3-4,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Mid-Senior,0,1,0,0,0,0, LA
Data Analytics Engineer,75-131 ,3.7,Summa Health System,"Akron, OH","Akron, OH",5001 - 10000 ,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),75,131,103,Low,3-4,5001 , 10000 ,Nonprofit,False,False,False,False,False,False,True,False,False,False,False,Bachelor,Entry,0,1,0,0,1,1, OH
Senior Data Scientist,75-131 ,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",201 - 500 ,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),75,131,103,Low,3-4,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Senior,1,1,0,0,0,0, MO
Product Data Scientist - Ads Data Science,75-131 ,4.1,Twitter,"San Francisco, CA","San Francisco, CA",1001 - 5000 ,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),75,131,103,Low,4-5,1001 , 5000 ,Public,False,False,True,False,False,False,False,False,False,False,False,PhD,Not Mentioned,1,0,0,0,0,0, CA
Data Scientist,75-131 ,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",1001 - 5000 ,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,75,131,103,Low,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,0,0,1,0,0, CA
Data Scientist - Intermediate,75-131 ,4.5,Envision LLC,"Saint Louis, MO","Saint Louis, MO",201 - 500 ,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),75,131,103,Low,4-5,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Not Mentioned,1,1,0,0,0,0, MO
Data Analyst,75-131 ,3.8,Swiss Re,"Fort Wayne, IN","Zurich, Switzerland",10000+ ,,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),75,131,103,Low,3-4,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,Bachelor,Entry,1,1,0,0,0,0, IN
Machine Learning Engineer,75-131 ,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),75,131,103,Low,4-5,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Mid-Senior,1,1,0,0,0,0, MA
Data Scientist,79-131 ,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 - 5000 ,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),79,131,105,Low,3-4,1001 , 5000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,0,0,0,0,0, MA
Data Scientist,79-131 ,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 - 200 ,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79,131,105,Low,4-5,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Phd,Mid-Senior,1,1,1,1,0,0, CA
Global Data Analyst,79-131 ,3.8,Dermalogica,"Carson, CA","Carson, CA",201 - 500 ,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),79,131,105,Low,3-4,201 , 500 ,Private,False,False,False,False,False,False,False,False,False,False,True,Bachelor,Entry,0,1,0,0,0,1, CA
Data Engineer,79-131 ,3.7,Bayview Asset Management,"Coral Gables, FL","Coral Gables, FL",1001 - 5000 ,1995,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),79,131,105,Low,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Mid-Senior,1,0,0,0,0,0, FL
Data Scientist,79-131 ,3.7,Via Transportation,"New York, NY","New York, NY",501 - 1000 ,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79,131,105,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Entry,1,0,0,0,0,1, NY
Data Scientist,79-131 ,4.0,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",1001 - 5000 ,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),79,131,105,Low,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,0,0,0,1, CA
Data & Machine Learning Scientist,79-131 ,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 - 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,PhD,Mid-Senior,1,0,0,0,1,0, IL
Data Scientist - Machine Learning,79-131 ,2.5,CareDx,"Brisbane, CA","Brisbane, CA",1 - 50 ,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105,Low,2-3,1 , 50 ,Private,False,True,False,False,False,False,False,False,False,False,False,Phd,Entry,1,1,0,1,0,0, CA
Data Engineer (Remote),79-131 ,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 - 200 ,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),79,131,105,Low,4-5,51 , 200 ,Public,False,False,True,False,False,False,False,False,False,False,False,Not Mentioned,Mid-Senior,1,1,1,1,1,0, FL
"Data Scientist, Applied Machine Learning - Bay Area",79-131 ,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 - 1000 ,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105,Low,3-4,501 , 1000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Mid-Senior,1,0,0,0,1,0, CA
Principal Data Scientist,79-131 ,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 - 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),79,131,105,Low,3-4,5001 , 10000 ,Public,False,False,True,False,False,False,False,False,False,False,False,Not Mentioned,Entry,1,1,1,1,1,0, CA
Business Data Analyst,79-131 ,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),79,131,105,Low,3-4,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,Bachelor,Entry,0,1,0,0,0,1, IL
Purification Scientist,79-131 ,4.9,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79,131,105,Low,4-5,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Mid-Senior,0,0,0,0,0,0, MA
Data Analyst,79-131 ,3.4,Allied Solutions,"Carmel, IN","Carmel, IN",1001 - 5000 ,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),79,131,105,Low,3-4,1001 , 5000 ,Private,False,False,False,False,False,False,False,False,False,False,True,Bachelor,Entry,1,1,0,0,0,1, IN
"Data Engineer, Enterprise Analytics",79-131 ,3.1,Healthfirst,"New York, NY","New York, NY",1001 - 5000 ,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,79,131,105,Low,3-4,1001 , 5000 ,Nonprofit,False,False,False,False,False,False,True,False,False,False,False,Bachelor,Entry,1,1,0,0,0,0, NY
Data Scientist,79-131 ,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",1001 - 5000 ,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79,131,105,Low,3-4,1001 , 5000 ,Private,False,True,False,False,False,False,False,False,False,False,False,Master,Entry,1,0,0,1,1,0, DC
Data Scientist,79-131 ,2.9,IFG Companies,"New York, NY","Hartford, CT",201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,79,131,105,Low,2-3,201 , 500 ,Private,False,True,False,False,False,False,False,False,False,False,False,Bachelor,Entry,1,0,0,0,0,0, NY
Data Scientist 3 (718),79-131 ,3.3,Amyris,"Emeryville, CA","Emeryville, CA",201 - 500 ,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),79,131,105,Low,3-4,201 , 500 ,Public,False,False,True,False,False,False,False,False,False,False,False,Phd,Entry,1,0,0,0,1,0, CA
"Real World Science, Data Scientist",79-131 ,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ ,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79,131,105,Low,3-4,10001 ,10000+ ,Public,False,False,True,False,False,False,False,False,False,False,False,PhD,Entry,1,0,1,0,0,0, MD
Data Scientist,79-131 ,3.6,Powertek,"Washington, DC","Rockville, MD",51 - 200 ,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),79,131,105,Low,3-4,51 , 200 ,Private,False,True,False,False,False,False,False,False,False,False,False,Not Mentioned,Entry,0,0,0,0,0,0, DC
